pid,name,user,cpu_percent,memory_mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,System Idle Process,NT AUTHORITY\SYSTEM,1108.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9076,RuntimeBroker.exe,DESKTOP-4B1OM9L\Gaming,0,78.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9136,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,78.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9140,svchost.exe,DESKTOP-4B1OM9L\Gaming,0,22.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128,rundll32.exe,DESKTOP-4B1OM9L\Gaming,0,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10256,svchost.exe,N/A,0,26.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10292,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10356,backgroundTaskHost.exe,DESKTOP-4B1OM9L\Gaming,0,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10584,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10604,msedge.exe,DESKTOP-4B1OM9L\Gaming,0,80.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10640,dllhost.exe,DESKTOP-4B1OM9L\Gaming,0,21.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10836,Code.exe,DESKTOP-4B1OM9L\Gaming,0,121.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10840,svchost.exe,N/A,0,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10976,UserOOBEBroker.exe,DESKTOP-4B1OM9L\Gaming,0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11024,msedgewebview2.exe,DESKTOP-4B1OM9L\Gaming,0,23.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
